类别,书名,月票数,时间
[异世大陆],冰火破坏神,2399,2014
[东方玄幻],雪中悍刀行,1285,2014
[东方玄幻],不败战神,591,2014
[科技时代],最强机师,583,2014
[东方玄幻],刀剑神皇,567,2014
[架空历史],国色生枭,489,2014
[架空历史],争霸天下,415,2014
[穿越历史],宰执天下,383,2014
[都市生活],火爆天王,333,2014
[古典仙侠],仙路争锋,307,2014
[穿梭时空],死亡名单,305,2014
[东方玄幻],星河大帝,262,2014
[都市生活],御宝天师,262,2014
[东方玄幻],道印,242,2014
[奇幻修真],无仙,241,2014
[东方玄幻],至尊战神,235,2014
[异世大陆],图腾大陆,206,2014
[东方玄幻],符皇,202,2014
[奇幻修真],大至尊,163,2014
[东方玄幻],问镜,148,2014
[穿梭时空],天灾,140,2014
[奇幻修真],真灵九变,114,2014
[古典仙侠],蜀山五台教主,73,2014
[虚拟网游],网游之天下第一,70,2014
[东方玄幻],吞雷天尸,66,2014
[末世危机],末世黑暗纪,66,2014
[都市异能],低调术士,59,2014
[虚拟网游],网游之亡灵召唤,57,2014
[奇幻修真],九鼎神皇,53,2014
[进化变异],灾厄纪元,49,2014
[东方玄幻],九阳踏天,45,2014
[穿越历史],扶风歌,44,2014
[穿越历史],三国之最风流,44,2014
[奇幻修真],不死冥轮,42,2014
[穿梭时空],恐怖高校,40,2014
[灵异神怪],棺山夜行,36,2014
[进化变异],神魔练兵场,34,2014
[江湖情仇],都市邪王,33,2014
[虚拟网游],网游之无敌战神,31,2014
[东方玄幻],神武苍穹,27,2014
[吸血传奇],血龙骄雄,27,2014
[虚拟网游],网游之帝皇崛起,26,2014
[穿越历史],大明海寇,25,2014
[穿越历史],极品驸马,24,2014
[架空历史],狼行三国,23,2014
[异世大陆],冰火破坏神,1362,2014
[东方玄幻],雪中悍刀行,1017,2014
[东方玄幻],不败战神,563,2014
[架空历史],国色生枭,441,2014
[架空历史],争霸天下,418,2014
[古典仙侠],仙路争锋,380,2014
[东方玄幻],刀剑神皇,363,2014
[穿越历史],宰执天下,307,2014
[东方玄幻],符皇,285,2014
[东方玄幻],武动星河,269,2014
[穿梭时空],死亡名单,236,2014
[东方玄幻],道印,211,2014
[东方玄幻],星河大帝,209,2014
[都市生活],御宝天师,208,2014
[穿梭时空],天灾,174,2014
[异世大陆],图腾大陆,171,2014
[东方玄幻],问镜,149,2014
[奇幻修真],无仙,96,2014
[虚拟网游],网游之天下第一,86,2014
[古典仙侠],蜀山五台教主,79,2014
[奇幻修真],真灵九变,76,2014
[奇幻修真],大至尊,71,2014
[奇幻修真],剑破仙惊,62,2014
[进化变异],灾厄纪元,62,2014
[末世危机],末世黑暗纪,62,2014
[穿越历史],大明海寇,54,2014
[东方玄幻],吞雷天尸,53,2014
[吸血传奇],血龙骄雄,42,2014
[穿梭时空],恐怖高校,42,2014
[穿梭时空],死亡列车,42,2014
[都市生活],火爆天王,41,2014
[穿越历史],极品驸马,36,2014
[都市异能],低调术士,35,2014
[体育竞技],胜券在手,35,2014
[虚拟网游],网游之亡灵召唤,34,2014
[穿越历史],极品大太监,29,2014
[穿越历史],扶风歌,28,2014
[科技时代],冒牌机甲师,26,2014
[奇幻修真],不死冥轮,26,2014
[东方玄幻],九阳踏天,25,2014
[穿越历史],三国之最风流,24,2014
[都市异能],天才纨绔,24,2014
[体育竞技],篮球之黄金时代,24,2014
[灵异神怪],棺山夜行,23,2014
[江湖情仇],都市邪王,23,2014
[都市生活],终极教师,4254,2014
[异世大陆],永夜君王,2743,2014
[东方玄幻],不败战神,2102,2014
[异世大陆],冰火破坏神,1588,2014
[异世大陆],图腾大陆,1394,2014
[东方玄幻],雪中悍刀行,979,2014
[东方玄幻],符皇,565,2014
[古典仙侠],仙路争锋,467,2014
[东方玄幻],刀剑神皇,434,2014
[西方奇幻],天神下凡,409,2014
[架空历史],争霸天下,384,2014
[奇幻修真],大至尊,377,2014
[穿梭时空],死亡名单,359,2014
[都市生活],御宝天师,353,2014
[架空历史],国色生枭,352,2014
[东方玄幻],星河大帝,282,2014
[穿越历史],宰执天下,227,2014
[东方玄幻],问镜,185,2014
[东方玄幻],道印,150,2014
[奇幻修真],无仙,139,2014
[穿梭时空],天灾,128,2014
[灵异神怪],棺山夜行,122,2014
[奇幻修真],不死冥轮,77,2014
[虚拟网游],网游之天下第一,73,2014
[东方玄幻],吞雷天尸,71,2014
[古典仙侠],蜀山五台教主,69,2014
[进化变异],灾厄纪元,64,2014
[奇幻修真],真灵九变,56,2014
[东方玄幻],九阳踏天,53,2014
[吸血传奇],血龙骄雄,49,2014
[穿越历史],大明海寇,49,2014
[末世危机],末世黑暗纪,47,2014
[东方玄幻],不死战神,46,2014
[体育竞技],胜券在手,46,2014
[穿越历史],极品驸马,44,2014
[都市生活],全音阶狂潮,41,2014
[穿越历史],扶风歌,39,2014
[虚拟网游],网游之亡灵召唤,39,2014
[奇幻修真],九鼎神皇,38,2014
[奇幻修真],剑破仙惊,38,2014
[江湖情仇],都市邪王,35,2014
[都市生活],火爆天王,34,2014
[东方玄幻],九幽剑典,33,2014
[古典仙侠],西隐昆仑,29,2014
[都市异能],低调术士,28,2014
[异世大陆],冰火破坏神,4235,2014
[东方玄幻],星河大帝,2413,2014
[异世大陆],永夜君王,2006,2014
[都市生活],终极教师,1962,2014
[东方玄幻],不败战神,1653,2014
[东方玄幻],雪中悍刀行,1062,2014
[奇幻修真],绝世争仙,763,2014
[异世大陆],图腾大陆,608,2014
[异世大陆],传奇领主,554,2014
[架空历史],国色生枭,483,2014
[奇幻修真],不死冥轮,480,2014
[东方玄幻],符皇,422,2014
[奇幻修真],大至尊,405,2014
[穿梭时空],死亡名单,390,2014
[东方玄幻],刀剑神皇,377,2014
[古典仙侠],仙路争锋,365,2014
[都市生活],御宝天师,333,2014
[东方玄幻],问镜,258,2014
[架空历史],争霸天下,228,2014
[西方奇幻],天神下凡,206,2014
[穿越历史],宰执天下,170,2014
[穿梭时空],天灾,110,2014
[奇幻修真],无仙,101,2014
[穿越历史],三国之最风流,99,2014
[东方玄幻],道印,97,2014
[奇幻修真],九鼎神皇,96,2014
[虚拟网游],网游之天下第一,85,2014
[东方玄幻],霸天雷神,82,2014
[穿越历史],极品驸马,74,2014
[东方玄幻],九阳踏天,72,2014
[灵异神怪],棺山夜行,71,2014
[体育竞技],胜券在手,66,2014
[穿越历史],扶风歌,65,2014
[都市异能],超级无敌召唤空间,64,2014
[古典仙侠],蜀山五台教主,64,2014
[穿越历史],大明海寇,57,2014
[吸血传奇],血龙骄雄,55,2014
[奇幻修真],真灵九变,54,2014
[进化变异],灾厄纪元,48,2014
[末世危机],末世黑暗纪,42,2014
[虚拟网游],网游之梦幻法师,38,2014
[奇幻修真],剑破仙惊,35,2014
[奇幻修真],仙网,34,2014
[东方玄幻],宇宙人族之王,31,2014
[东方玄幻],太古至尊,27,2014
[异世大陆],图腾大陆,1987,2014
[异世大陆],永夜君王,1813,2014
[异世大陆],冰火破坏神,1681,2014
[东方玄幻],刀剑神皇,1146,2014
[东方玄幻],雪中悍刀行,1029,2014
[东方玄幻],符皇,929,2014
[都市生活],终极教师,905,2014
[东方玄幻],不败战神,889,2014
[东方玄幻],星河大帝,665,2014
[古典仙侠],仙路争锋,532,2014
[穿梭时空],死亡名单,356,2014
[架空历史],争霸天下,326,2014
[奇幻修真],大至尊,325,2014
[都市生活],御宝天师,298,2014
[东方玄幻],问镜,284,2014
[架空历史],国色生枭,236,2014
[东方玄幻],霸天雷神,227,2014
[穿越历史],宰执天下,214,2014
[穿越历史],三国之最风流,177,2014
[奇幻修真],九鼎神皇,158,2014
[古典仙侠],戮仙,139,2014
[穿越历史],扶风歌,123,2014
[奇幻修真],不死冥轮,108,2014
[东方玄幻],九阳踏天,106,2014
[东方玄幻],道印,98,2014
[虚拟网游],网游之天下第一,94,2014
[奇幻修真],无仙,94,2014
[体育竞技],胜券在手,88,2014
[穿越历史],极品驸马,76,2014
[灵异神怪],棺山夜行,56,2014
[古典仙侠],蜀山五台教主,56,2014
[末世危机],末世黑暗纪,56,2014
[奇幻修真],真灵九变,55,2014
[穿越历史],大明海寇,54,2014
[进化变异],灾厄纪元,53,2014
[吸血传奇],血龙骄雄,53,2014
[奇幻修真],阴仙,45,2014
[虚拟网游],网游之梦幻法师,41,2014
[穿梭时空],天灾,41,2014
[江湖情仇],都市邪王,41,2014
[东方玄幻],武动星河,39,2014
[体育竞技],篮球之黄金时代,38,2014
[古典仙侠],佛颂,33,2014
[奇幻修真],仙界第一商贩,32,2014
[穿梭时空],死亡列车,30,2014
[异世大陆],永夜君王,10650,2014
[奇幻修真],不死冥轮,7264,2014
[都市异能],圣手邪医,7152,2014
[异世大陆],图腾大陆,4478,2014
[异世大陆],冰火破坏神,3797,2014
[东方玄幻],雪中悍刀行,3206,2014
[奇幻修真],无仙,2031,2014
[都市生活],终极教师,1823,2014
[东方玄幻],刀剑神皇,1617,2014
[东方玄幻],星河大帝,1360,2014
[古典仙侠],仙路争锋,1351,2014
[东方玄幻],不败战神,1246,2014
[东方玄幻],符皇,1097,2014
[异世大陆],传奇领主,904,2014
[奇幻修真],大至尊,792,2014
[奇幻修真],绝世争仙,668,2014
[东方玄幻],霸天雷神,436,2014
[穿梭时空],死亡名单,378,2014
[古典仙侠],戮仙,364,2014
[东方玄幻],问镜,286,2014
[架空历史],国色生枭,279,2014
[奇幻修真],九鼎神皇,257,2014
[架空历史],争霸天下,256,2014
[穿越历史],宰执天下,246,2014
[架空历史],曲尽星河,219,2014
[东方玄幻],九阳踏天,185,2014
[都市生活],御宝天师,181,2014
[江湖情仇],都市邪王,178,2014
[穿越历史],大明帝师,132,2014
[异世大陆],至尊法神,131,2014
[穿越历史],三国之最风流,123,2014
[穿越历史],扶风歌,108,2014
[虚拟网游],网游之梦幻法师,89,2014
[穿越历史],大明海寇,81,2014
[穿梭时空],城战系统,80,2014
[体育竞技],胜券在手,79,2014
[灵异神怪],棺山夜行,75,2014
[穿梭时空],升级成仙,69,2014
[吸血传奇],血龙骄雄,67,2014
[东方玄幻],道印,63,2014
[东方玄幻],神印,62,2014
[都市异能],低调术士,59,2014
[穿越历史],借天改明,59,2014
[末世危机],末世黑暗纪,57,2014
[穿越历史],极品驸马,56,2014
[异世大陆],冰火破坏神,11883,2014
[异世大陆],图腾大陆,6750,2014
[古典仙侠],仙路争锋,6160,2014
[异世大陆],永夜君王,5403,2014
[奇幻修真],不死冥轮,4720,2014
[东方玄幻],大荒蛮神,3884,2014
[奇幻修真],无仙,3538,2014
[东方玄幻],无极剑神,1608,2014
[东方玄幻],不败战神,1430,2014
[都市生活],终极教师,941,2014
[东方玄幻],雪中悍刀行,935,2014
[穿越历史],大明帝师,895,2014
[东方玄幻],符皇,846,2014
[东方玄幻],刀剑神皇,844,2014
[奇幻修真],仙路至尊,814,2014
[东方玄幻],霸天雷神,728,2014
[穿梭时空],死亡名单,522,2014
[古典仙侠],魔道成仙,382,2014
[东方玄幻],星河大帝,370,2014
[穿梭时空],升级成仙,356,2014
[异世大陆],至尊法神,333,2014
[古典仙侠],戮仙,261,2014
[东方玄幻],问镜,255,2014
[架空历史],争霸天下,216,2014
[架空历史],国色生枭,214,2014
[灵异神怪],棺山夜行,168,2014
[穿越历史],宰执天下,160,2014
[奇幻修真],大至尊,151,2014
[都市生活],御宝天师,134,2014
[奇幻修真],偷香高手,123,2014
[架空历史],曲尽星河,122,2014
[都市生活],超级武器兑换系统,122,2014
[东方玄幻],九阳踏天,111,2014
[奇幻修真],九鼎神皇,90,2014
[星际争霸],合金外壳,84,2014
[虚拟网游],网游之不败战神,83,2014
[穿越历史],大明海寇,82,2014
[穿越历史],扶风歌,75,2014
[穿越历史],极品驸马,73,2014
[东方玄幻],道印,69,2014
[异世大陆],传奇领主,67,2014
[穿梭时空],无限杀业,66,2014
[穿梭时空],神殖武力,59,2014
[进化变异],灾厄纪元,56,2014
[末世危机],末世黑暗纪,52,2014
[东方玄幻],无极剑神,14335,2014
[都市生活],终极教师,13436,2014
[东方玄幻],大荒蛮神,4329,2014
[异世大陆],永夜君王,3909,2014
[异世大陆],冰火破坏神,2738,2014
[古典仙侠],仙路争锋,2658,2014
[东方玄幻],问镜,2190,2014
[奇幻修真],不死冥轮,2122,2014
[异世大陆],传奇领主,1975,2014
[架空历史],争霸天下,1317,2014
[穿越历史],十国千娇,1216,2014
[灵异神怪],棺山夜行,1068,2014
[都市生活],全音阶狂潮,1007,2014
[奇幻修真],仙路至尊,925,2014
[东方玄幻],符皇,923,2014
[奇幻修真],无仙,919,2014
[东方玄幻],不败战神,907,2014
[东方玄幻],霸天雷神,880,2014
[东方玄幻],雪中悍刀行,659,2014
[奇幻修真],大至尊,524,2014
[进化变异],斗神武装,346,2014
[东方玄幻],刀剑神皇,323,2014
[架空历史],国色生枭,301,2014
[穿越历史],大明帝师,287,2014
[都市生活],特种神医,285,2014
[东方玄幻],星河大帝,257,2014
[都市异能],圣手邪医,248,2014
[穿越历史],宰执天下,246,2014
[异世大陆],图腾大陆,239,2014
[穿梭时空],升级成仙,234,2014
[职场商战],绝品全才,229,2014
[古典仙侠],戮仙,223,2014
[穿梭时空],神殖武力,171,2014
[古典仙侠],唯我仙缘,158,2014
[古典仙侠],魔道成仙,155,2014
[异世大陆],武斗神尊,149,2014
[穿梭时空],死亡名单,147,2014
[穿越历史],大明海寇,144,2014
[东方玄幻],斗天至尊,143,2014
[穿越历史],扶风歌,135,2014
[末世危机],末世之人类的曙光,123,2014
[东方玄幻],道印,121,2014
[青春校园],超级大文豪,109,2014
[异世大陆],无上血尊,100,2014
[体育竞技],篮球之黄金时代,94,2014
[异世大陆],永夜君王,10650,2014
[奇幻修真],不死冥轮,7264,2014
[都市异能],圣手邪医,7152,2014
[异世大陆],图腾大陆,4478,2014
[异世大陆],冰火破坏神,3797,2014
[东方玄幻],雪中悍刀行,3206,2014
[奇幻修真],无仙,2031,2014
[都市生活],终极教师,1823,2014
[东方玄幻],刀剑神皇,1617,2014
[东方玄幻],星河大帝,1360,2014
[古典仙侠],仙路争锋,1351,2014
[东方玄幻],不败战神,1246,2014
[东方玄幻],符皇,1097,2014
[异世大陆],传奇领主,904,2014
[奇幻修真],大至尊,792,2014
[奇幻修真],绝世争仙,668,2014
[东方玄幻],霸天雷神,436,2014
[穿梭时空],死亡名单,378,2014
[古典仙侠],戮仙,364,2014
[东方玄幻],问镜,286,2014
[架空历史],国色生枭,279,2014
[奇幻修真],九鼎神皇,257,2014
[架空历史],争霸天下,256,2014
[穿越历史],宰执天下,246,2014
[架空历史],曲尽星河,219,2014
[东方玄幻],九阳踏天,185,2014
[都市生活],御宝天师,181,2014
[江湖情仇],都市邪王,178,2014
[穿越历史],大明帝师,132,2014
[异世大陆],至尊法神,131,2014
[穿越历史],三国之最风流,123,2014
[穿越历史],扶风歌,108,2014
[虚拟网游],网游之梦幻法师,89,2014
[穿越历史],大明海寇,81,2014
[穿梭时空],城战系统,80,2014
[体育竞技],胜券在手,79,2014
[灵异神怪],棺山夜行,75,2014
[穿梭时空],升级成仙,69,2014
[吸血传奇],血龙骄雄,67,2014
[东方玄幻],道印,63,2014
[东方玄幻],神印,62,2014
[都市异能],低调术士,59,2014
[穿越历史],借天改明,59,2014
[末世危机],末世黑暗纪,57,2014
[穿越历史],极品驸马,56,2014
[异世大陆],冰火破坏神,11883,2014
[异世大陆],图腾大陆,6750,2014
[古典仙侠],仙路争锋,6160,2014
[异世大陆],永夜君王,5403,2014
[奇幻修真],不死冥轮,4720,2014
[东方玄幻],大荒蛮神,3884,2014
[奇幻修真],无仙,3538,2014
[东方玄幻],无极剑神,1608,2014
[东方玄幻],不败战神,1430,2014
[都市生活],终极教师,941,2014
[东方玄幻],雪中悍刀行,935,2014
[穿越历史],大明帝师,895,2014
[东方玄幻],符皇,846,2014
[东方玄幻],刀剑神皇,844,2014
[奇幻修真],仙路至尊,814,2014
[东方玄幻],霸天雷神,728,2014
[穿梭时空],死亡名单,522,2014
[古典仙侠],魔道成仙,382,2014
[东方玄幻],星河大帝,370,2014
[穿梭时空],升级成仙,356,2014
[异世大陆],至尊法神,333,2014
[古典仙侠],戮仙,261,2014
