类别,书名,月票数
[都市生活],最强狂兵,34062
[都市异能],纯禽记者,20926
[都市生活],近身狂兵,18941
[东方玄幻],龙符,9616
[异世大陆],万域之王,9530
[异世大陆],原血神座,6949
[东方玄幻],轮回剑主,6943
[都市异能],极品神眼,6813
[奇幻修真],九界仙尊,6709
[东方玄幻],盖世帝尊,6462
[都市生活],最强逆袭,6340
[东方玄幻],帝临鸿蒙,4846
[东方玄幻],大逆之门,4693
[东方玄幻],大夏王侯,4003
[奇幻修真],九死仙尊,3980
[东方玄幻],无敌剑域,3653
[都市生活],妙医鸿途,3389
[都市生活],霉运阴阳眼,3361
[都市异能],末日刁民,3358
[东方玄幻],儒武争锋,2721
[东方玄幻],诸天谣,2160
[古典仙侠],钧天图,2142
[都市生活],全音阶狂潮,1824
[东方玄幻],踏天无痕,1628
[异世大陆],永夜君王,1214
[进化变异],星辰之主,1205
[末世危机],末世危城,1150
[奇幻修真],仙路至尊,1149
[东方玄幻],御天神帝,986
[东方玄幻],一世独尊,972
[都市异能],逆鳞,970
[都市异能],超品神瞳,891
[都市生活],透视高手,773
[东方玄幻],天骄战纪,711
[架空历史],锦衣春秋,711
[奇幻修真],偷香高手,627
[东方玄幻],祭炼山河,621
[都市生活],超品战兵,604
[东方玄幻],雪中悍刀行,546
[奇幻修真],帝念永存,518
[奇幻修真],天刑纪,456
[穿越历史],大宋王侯,445
[新派武侠],在中原行镖的日子,438
[架空历史],大明1617,389
[奇幻修真],剑王朝,374
[穿越历史],三国之最风流,336
[东方玄幻],九天剑主,330
[东方玄幻],火帝神尊,327
[奇幻修真],百度穿梭,322
[东方玄幻],十方神王,311
[东方玄幻],逆天邪神,297
[古典仙侠],书剑长安,266
[都市异能],最强妖孽,251
[进化变异],末日边缘,193
[异世大陆],踏破星河,184
[都市重生],异界霸主在都市,180
[东方玄幻],剑道通神,144
[江湖情仇],无间枭雄,143
[穿越历史],混在1275,137
